  NDS= 4
  lambda [um]  A(l)/AV tot  A(l)/AV D1   A(l)/AV D2   A(l)/AV D3   A(l)/AV D4
  1.25900E-01  1.60264E+00  1.02030E+00  2.24512E-01  1.78915E-01  1.78915E-01
  1.21600E-01  1.65409E+00  1.01929E+00  2.31906E-01  2.01447E-01  2.01447E-01
  1.18900E-01  1.69047E+00  1.01896E+00  2.36399E-01  2.17558E-01  2.17558E-01
  1.12200E-01  1.79496E+00  1.01872E+00  2.47882E-01  2.64180E-01  2.64180E-01
  1.05900E-01  1.91982E+00  1.01988E+00  2.62012E-01  3.18962E-01  3.18962E-01
  1.00000E-01  2.04584E+00  1.01862E+00  2.69309E-01  3.78957E-01  3.78957E-01
  9.44100E-02  2.15026E+00  1.01267E+00  2.74139E-01  4.31727E-01  4.31727E-01
  8.91300E-02  2.25506E+00  9.95892E-01  2.70778E-01  4.94193E-01  4.94193E-01
  8.41400E-02  2.44239E+00  9.95705E-01  2.67202E-01  5.89744E-01  5.89744E-01
  7.94300E-02  2.76320E+00  9.93060E-01  2.67979E-01  7.51079E-01  7.51079E-01
  7.49900E-02  3.21657E+00  9.83359E-01  2.63366E-01  9.84921E-01  9.84921E-01
  7.07900E-02  3.34528E+00  9.63413E-01  2.53365E-01  1.06425E+00  1.06425E+00
  6.68300E-02  2.96404E+00  9.39716E-01  2.36185E-01  8.94068E-01  8.94068E-01
  6.31000E-02  2.57124E+00  9.13078E-01  2.22259E-01  7.17951E-01  7.17951E-01
  5.95700E-02  2.16840E+00  8.85993E-01  2.15609E-01  5.33398E-01  5.33398E-01
  5.84000E-02  2.02644E+00  8.77792E-01  2.13677E-01  4.67486E-01  4.67486E-01
  5.62300E-02  1.86035E+00  8.64714E-01  2.10495E-01  3.92569E-01  3.92569E-01
  5.30900E-02  1.69041E+00  8.53230E-01  2.04012E-01  3.16582E-01  3.16582E-01
  5.01200E-02  1.57168E+00  8.45046E-01  1.98037E-01  2.64297E-01  2.64297E-01
  4.73200E-02  1.47331E+00  8.36629E-01  1.92652E-01  2.22014E-01  2.22014E-01
  4.46700E-02  1.38828E+00  8.27495E-01  1.87440E-01  1.86670E-01  1.86670E-01
  4.21700E-02  1.31054E+00  8.16333E-01  1.81963E-01  1.56124E-01  1.56124E-01
  3.98100E-02  1.27583E+00  8.06316E-01  1.77899E-01  1.45808E-01  1.45808E-01
  3.75800E-02  1.27151E+00  7.99840E-01  1.74262E-01  1.48705E-01  1.48705E-01
  3.54800E-02  1.27024E+00  7.93419E-01  1.69838E-01  1.53494E-01  1.53494E-01
  3.35000E-02  1.23857E+00  7.87058E-01  1.73906E-01  1.38804E-01  1.38804E-01
  3.16200E-02  1.20339E+00  7.80769E-01  1.72318E-01  1.25151E-01  1.25151E-01
  3.04000E-02  1.17993E+00  7.76387E-01  1.71038E-01  1.16255E-01  1.16255E-01
  2.98500E-02  1.16942E+00  7.74298E-01  1.70405E-01  1.12359E-01  1.12359E-01
  2.81800E-02  1.13737E+00  7.67542E-01  1.68424E-01  1.00700E-01  1.00700E-01
  2.66100E-02  1.10863E+00  7.61802E-01  1.66454E-01  9.01873E-02  9.01873E-02
  2.51200E-02  1.07997E+00  7.54201E-01  1.64515E-01  8.06267E-02  8.06267E-02
  2.37100E-02  1.05147E+00  7.44902E-01  1.62565E-01  7.20032E-02  7.20032E-02
  2.23870E-02  1.06163E+00  7.72610E-01  1.60673E-01  6.41757E-02  6.41757E-02
  1.99530E-02  1.01432E+00  7.55480E-01  1.56856E-01  5.09941E-02  5.09941E-02
  1.77830E-02  9.80627E-01  7.47294E-01  1.52912E-01  4.02104E-02  4.02104E-02
  1.58490E-02  9.53748E-01  7.41844E-01  1.48741E-01  3.15817E-02  3.15817E-02
  1.41250E-02  9.26456E-01  7.32850E-01  1.44242E-01  2.46819E-02  2.46819E-02
  1.25890E-02  8.97684E-01  7.19728E-01  1.39415E-01  1.92705E-02  1.92705E-02
  1.12200E-02  8.99152E-01  7.34990E-01  1.34245E-01  1.49583E-02  1.49583E-02
  1.06000E-02  8.96967E-01  7.39080E-01  1.31533E-01  1.31764E-02  1.31764E-02
  1.00000E-02  8.88273E-01  7.36494E-01  1.28658E-01  1.15610E-02  1.15610E-02
  9.00000E-03  8.75532E-01  7.34080E-01  1.23258E-01  9.09670E-03  9.09670E-03
  8.00000E-03  8.54629E-01  7.24023E-01  1.16725E-01  6.94043E-03  6.94043E-03
  7.00000E-03  8.46747E-01  7.27956E-01  1.08634E-01  5.07827E-03  5.07827E-03
  6.00000E-03  8.27719E-01  7.22934E-01  9.77488E-02  3.51835E-03  3.51835E-03
  5.00000E-03  7.97661E-01  7.14730E-01  7.84585E-02  2.23661E-03  2.23661E-03
  4.00000E-03  8.65913E-01  6.94721E-01  1.10872E-01  3.01598E-02  3.01598E-02
  3.00000E-03  7.38620E-01  6.11063E-01  9.46893E-02  1.64342E-02  1.64342E-02
  2.00000E-03  5.28333E-01  4.39430E-01  7.69339E-02  5.98456E-03  5.98456E-03
  1.00000E-03  2.82820E-01  2.33376E-01  4.76727E-02  8.86034E-04  8.86034E-04
